Code,Name,Continent,Population,LifeExpectancy
SYC,Seychelles,Africa,77000,70.4
SYR,Syria,Asia,16125000,68.5
TCA,Turks and Caicos Islands,North America,17000,73.3
TCD,Chad,Africa,7651000,50.5
TGO,Togo,Africa,4629000,54.7
THA,Thailand,Asia,61399000,68.6
TJK,Tajikistan,Asia,6188000,64.1
TKL,Tokelau,Oceania,2000,
TKM,Turkmenistan,Asia,4459000,60.9
TMP,East Timor,Asia,885000,46.0
TON,Tonga,Oceania,99000,67.9
TTO,Trinidad and Tobago,North America,1295000,68.0
TUN,Tunisia,Africa,9586000,73.7
TUR,Turkey,Asia,66591000,71.0
TUV,Tuvalu,Oceania,12000,66.3
TWN,Taiwan,Asia,22256000,76.4
TZA,Tanzania,Africa,33517000,52.3
UGA,Uganda,Africa,21778000,42.9
UKR,Ukraine,Europe,50456000,66.0
UMI,United States Minor Outlying Islands,Oceania,0,
URY,Uruguay,South America,3337000,75.2
USA,United States,North America,278357000,77.1
UZB,Uzbekistan,Asia,24318000,63.7
VAT,Holy See (Vatican City State),Europe,1000,
VCT,Saint Vincent and the Grenadines,North America,114000,72.3
VEN,Venezuela,South America,24170000,73.1
VGB,"Virgin Islands, British",North America,21000,75.4
VIR,"Virgin Islands, U.S.",North America,93000,78.1
VNM,Vietnam,Asia,79832000,69.3
VUT,Vanuatu,Oceania,190000,60.6
WLF,Wallis and Futuna,Oceania,15000,
WSM,Samoa,Oceania,180000,69.2
YEM,Yemen,Asia,18112000,59.8
YUG,Yugoslavia,Europe,10640000,72.4
ZAF,South Africa,Africa,40377000,51.1
ZMB,Zambia,Africa,9169000,37.2
ZWE,Zimbabwe,Africa,11669000,37.8
